q,block_size,radius,num_encodings,average_list_size_no_zero,average_list_size_with_zero,expected_list_size,sample_size
3,3,0,0,8.0,8.0,8.0,10
3,3,0,1,2.962962962962963,2.962962962962963,2.6666666666666665,10
3,3,0,2,1.3559322033898304,1.2903225806451613,0.8888888888888888,10
3,3,0,3,1.0,0.8080808080808081,0.2962962962962963,10
3,3,1,0,20.0,20.0,20.0,10
3,3,1,1,6.666666666666666,6.666666666666666,6.666666666666667,10
3,3,1,2,2.3255813953488373,2.3255813953488373,2.2222222222222223,10
3,3,1,3,1.0,0.966183574879227,0.7407407407407407,10
3,3,2,0,26.0,26.0,26.0,10
3,3,2,1,8.666666666666666,8.666666666666666,8.666666666666666,10
3,3,2,2,2.888888888888889,2.888888888888889,2.888888888888889,10
3,3,2,3,1.0,0.9961685823754789,0.9629629629629629,10
3,3,3,0,27.0,27.0,27.0,10
3,3,3,1,9.0,9.0,9.0,10
3,3,3,2,3.0,3.0,3.0,10
3,3,3,3,1.0,1.0,1.0,10
3,4,0,0,16.0,16.0,16.0,10
3,4,0,1,5.517241379310344,5.517241379310344,5.333333333333333,10
3,4,0,2,2.051282051282051,2.051282051282051,1.7777777777777777,10
3,4,0,3,1.1851851851851851,1.0810810810810811,0.5925925925925926,10
3,4,0,4,1.0,0.7111111111111111,0.19753086419753085,10
3,4,1,0,48.0,48.0,48.0,10
3,4,1,1,16.0,16.0,16.0,10
3,4,1,2,5.333333333333333,5.333333333333333,5.333333333333333,10
3,4,1,3,1.9047619047619049,1.9047619047619049,1.7777777777777777,10
3,4,1,4,1.0,0.935672514619883,0.5925925925925926,10
3,4,2,0,72.0,72.0,72.0,10
3,4,2,1,23.999999999999996,23.999999999999996,24.0,10
3,4,2,2,7.999999999999999,7.999999999999999,8.0,10
3,4,2,3,2.6765799256505574,2.6765799256505574,2.6666666666666665,10
3,4,2,4,1.0,0.9876543209876543,0.8888888888888888,10
3,4,3,0,80.0,80.0,80.0,10
3,4,3,1,26.666666666666664,26.666666666666664,26.666666666666668,10
3,4,3,2,8.88888888888889,8.88888888888889,8.88888888888889,10
3,4,3,3,2.962962962962963,2.962962962962963,2.962962962962963,10
3,4,3,4,1.0,0.9987515605493134,0.9876543209876543,10
3,4,4,0,81.0,81.0,81.0,10
3,4,4,1,27.0,27.0,27.0,10
3,4,4,2,9.0,9.0,9.0,10
3,4,4,3,3.0,3.0,3.0,10
3,4,4,4,1.0,1.0,1.0,10
3,5,0,0,32.0,32.0,32.0,10
3,5,0,1,10.666666666666666,10.666666666666666,10.666666666666666,10
3,5,0,2,3.7209302325581395,3.7209302325581395,3.5555555555555554,10
3,5,0,3,1.553398058252427,1.5094339622641508,1.1851851851851851,10
3,5,0,4,1.1764705882352942,0.9846153846153847,0.3950617283950617,10
3,5,0,5,1.0,0.6026365348399246,0.13168724279835392,10
3,5,1,0,112.0,112.0,112.0,10
3,5,1,1,37.33333333333334,37.33333333333334,37.333333333333336,10
3,5,1,2,12.444444444444445,12.444444444444445,12.444444444444445,10
3,5,1,3,4.2748091603053435,4.2748091603053435,4.148148148148148,10
3,5,1,4,1.669150521609538,1.6279069767441863,1.382716049382716,10
3,5,1,5,1.0,0.8952837729816147,0.4609053497942387,10
3,5,2,0,192.0,192.0,192.0,10
3,5,2,1,64.0,64.0,64.0,10
3,5,2,2,21.333333333333336,21.333333333333336,21.333333333333332,10
3,5,2,3,7.111111111111111,7.111111111111111,7.111111111111111,10
3,5,2,4,2.4303797468354427,2.4242424242424243,2.3703703703703702,10
3,5,2,5,1.0,0.974124809741248,0.7901234567901234,10
3,5,3,0,232.0,232.0,232.0,10
3,5,3,1,77.33333333333334,77.33333333333334,77.33333333333333,10
3,5,3,2,25.777777777777775,25.777777777777775,25.77777777777778,10
3,5,3,3,8.592592592592592,8.592592592592592,8.592592592592593,10
3,5,3,4,2.8677379480840544,2.8677379480840544,2.8641975308641974,10
3,5,3,5,1.0,0.9952809952809952,0.9547325102880658,10
3,5,4,0,242.0,242.0,242.0,10
3,5,4,1,80.66666666666666,80.66666666666666,80.66666666666667,10
3,5,4,2,26.88888888888889,26.88888888888889,26.88888888888889,10
3,5,4,3,8.962962962962962,8.962962962962962,8.962962962962964,10
3,5,4,4,2.9876543209876543,2.9876543209876543,2.9876543209876543,10
3,5,4,5,1.0,0.9995869475423379,0.9958847736625515,10
3,5,5,0,243.0,243.0,243.0,10
3,5,5,1,81.0,81.0,81.0,10
3,5,5,2,27.0,27.0,27.0,10
3,5,5,3,9.0,9.0,9.0,10
3,5,5,4,3.0,3.0,3.0,10
3,5,5,5,1.0,1.0,1.0,10
3,6,0,0,64.0,64.0,64.0,10
3,6,0,1,21.333333333333332,21.333333333333332,21.333333333333332,10
3,6,0,2,7.356321839080459,7.356321839080459,7.111111111111111,10
3,6,0,3,2.5296442687747036,2.5,2.3703703703703702,10
3,6,0,4,1.4446952595936793,1.336116910229645,0.7901234567901234,10
3,6,0,5,1.0509031198686372,0.8080808080808081,0.26337448559670784,10
3,6,0,6,1.0,0.4904214559386973,0.0877914951989026,10
3,6,1,0,256.0,256.0,256.0,10
3,6,1,1,85.33333333333334,85.33333333333334,85.33333333333333,10
3,6,1,2,28.44444444444445,28.44444444444445,28.444444444444443,10
3,6,1,3,9.481481481481483,9.481481481481483,9.481481481481481,10
3,6,1,4,3.2778489116517284,3.208020050125313,3.1604938271604937,10
3,6,1,5,1.5320167564332734,1.4463276836158192,1.0534979423868314,10
3,6,1,6,1.0,0.8440487965710518,0.3511659807956104,10
3,6,2,0,496.0,496.0,496.0,10
3,6,2,1,165.33333333333334,165.33333333333334,165.33333333333334,10
3,6,2,2,55.111111111111114,55.111111111111114,55.111111111111114,10
3,6,2,3,18.37037037037037,18.37037037037037,18.37037037037037,10
3,6,2,4,6.146220570012392,6.146220570012392,6.1234567901234565,10
3,6,2,5,2.1527777777777777,2.1333333333333333,2.0411522633744856,10
3,6,2,6,1.0,0.9551319083381475,0.6803840877914952,10
3,6,3,0,656.0,656.0,656.0,10
3,6,3,1,218.66666666666669,218.66666666666669,218.66666666666666,10
3,6,3,2,72.88888888888889,72.88888888888889,72.88888888888889,10
3,6,3,3,24.296296296296298,24.296296296296298,24.296296296296298,10
3,6,3,4,8.098765432098766,8.098765432098766,8.098765432098766,10
3,6,3,5,2.7186075424782428,2.7186075424782428,2.6995884773662553,10
3,6,3,6,1.0,0.9889944218302428,0.8998628257887518,10
3,6,4,0,716.0,716.0,716.0,10
3,6,4,1,238.66666666666666,238.66666666666666,238.66666666666666,10
3,6,4,2,79.55555555555556,79.55555555555556,79.55555555555556,10
3,6,4,3,26.51851851851852,26.51851851851852,26.51851851851852,10
3,6,4,4,8.839506172839506,8.839506172839506,8.839506172839506,10
3,6,4,5,2.9465020576131686,2.9465020576131686,2.9465020576131686,10
3,6,4,6,1.0,0.9981876481249129,0.9821673525377229,10
3,6,5,0,728.0,728.0,728.0,10
3,6,5,1,242.66666666666666,242.66666666666666,242.66666666666666,10
3,6,5,2,80.88888888888889,80.88888888888889,80.88888888888889,10
3,6,5,3,26.962962962962962,26.962962962962962,26.962962962962962,10
3,6,5,4,8.987654320987655,8.987654320987655,8.987654320987655,10
3,6,5,5,2.9958847736625516,2.9958847736625516,2.9958847736625516,10
3,6,5,6,1.0,0.99986265622854,0.9986282578875172,10
3,6,6,0,729.0,729.0,729.0,10
3,6,6,1,243.0,243.0,243.0,10
3,6,6,2,81.0,81.0,81.0,10
3,6,6,3,27.0,27.0,27.0,10
3,6,6,4,9.0,9.0,9.0,10
3,6,6,5,3.0,3.0,3.0,10
3,6,6,6,1.0,1.0,1.0,10
3,7,0,0,128.0,128.0,128.0,10
3,7,0,1,42.666666666666664,42.666666666666664,42.666666666666664,10
3,7,0,2,14.222222222222225,14.222222222222225,14.222222222222221,10
3,7,0,3,5.019607843137254,5.019607843137254,4.7407407407407405,10
3,7,0,4,1.847041847041847,1.8002812939521802,1.5802469135802468,10
3,7,0,5,1.3182286302780637,1.1053540587219344,0.5267489711934157,10
3,7,0,6,1.067556296914095,0.7095343680709535,0.1755829903978052,10
3,7,0,7,1.0,0.3833483078766098,0.05852766346593507,10
3,7,1,0,576.0,576.0,576.0,10
3,7,1,1,192.0,192.0,192.0,10
3,7,1,2,64.0,64.0,64.0,10
3,7,1,3,21.333333333333336,21.333333333333336,21.333333333333332,10
3,7,1,4,7.111111111111111,7.111111111111111,7.111111111111111,10
3,7,1,5,2.640990371389271,2.553191489361702,2.3703703703703702,10
3,7,1,6,1.3859480269489894,1.2981744421906694,0.7901234567901234,10
3,7,1,7,1.0,0.7814407814407814,0.26337448559670784,10
3,7,2,0,1248.0,1248.0,1248.0,10
3,7,2,1,416.00000000000006,416.00000000000006,416.0,10
3,7,2,2,138.66666666666669,138.66666666666669,138.66666666666666,10
3,7,2,3,46.22222222222223,46.22222222222223,46.22222222222222,10
3,7,2,4,15.407407407407408,15.407407407407408,15.407407407407407,10
3,7,2,5,5.152766308835673,5.152766308835673,5.135802469135802,10
3,7,2,6,1.9778129952456416,1.947261663286004,1.7119341563786008,10
3,7,2,7,1.0,0.930024591996423,0.5706447187928669,10
3,7,3,0,1808.0,1808.0,1808.0,10
3,7,3,1,602.6666666666666,602.6666666666666,602.6666666666666,10
3,7,3,2,200.88888888888886,200.88888888888886,200.88888888888889,10
3,7,3,3,66.96296296296296,66.96296296296296,66.96296296296296,10
3,7,3,4,22.320987654320987,22.320987654320987,22.320987654320987,10
3,7,3,5,7.440329218106996,7.440329218106996,7.440329218106996,10
3,7,3,6,2.5097168239866745,2.5010374878959745,2.4801097393689986,10
3,7,3,7,1.0,0.9794680101847337,0.8267032464563329,10
3,7,4,0,2088.0,2088.0,2088.0,10
3,7,4,1,696.0,696.0,696.0,10
3,7,4,2,232.00000000000003,232.00000000000003,232.0,10
3,7,4,3,77.33333333333333,77.33333333333333,77.33333333333333,10
3,7,4,4,25.77777777777778,25.77777777777778,25.77777777777778,10
3,7,4,5,8.592592592592593,8.592592592592593,8.592592592592593,10
3,7,4,6,2.8669504325140744,2.8669504325140744,2.8641975308641974,10
3,7,4,7,1.0,0.9952809952809952,0.9547325102880658,10
3,7,5,0,2172.0,2172.0,2172.0,10
3,7,5,1,724.0000000000001,724.0000000000001,724.0,10
3,7,5,2,241.33333333333334,241.33333333333334,241.33333333333334,10
3,7,5,3,80.44444444444444,80.44444444444444,80.44444444444444,10
3,7,5,4,26.814814814814817,26.814814814814817,26.814814814814813,10
3,7,5,5,8.938271604938272,8.938271604938272,8.938271604938272,10
3,7,5,6,2.9794238683127574,2.9794238683127574,2.9794238683127574,10
3,7,5,7,1.0,0.9993098688750862,0.9931412894375857,10
3,7,6,0,2186.0,2186.0,2186.0,10
3,7,6,1,728.6666666666666,728.6666666666666,728.6666666666666,10
3,7,6,2,242.88888888888889,242.88888888888889,242.88888888888889,10
3,7,6,3,80.96296296296296,80.96296296296296,80.96296296296296,10
3,7,6,4,26.98765432098765,26.98765432098765,26.987654320987655,10
3,7,6,5,8.995884773662553,8.995884773662553,8.995884773662551,10
3,7,6,6,2.998628257887517,2.998628257887517,2.998628257887517,10
3,7,6,7,1.0,0.9999542564384063,0.9995427526291724,10
3,7,7,0,2187.0,2187.0,2187.0,10
3,7,7,1,729.0,729.0,729.0,10
3,7,7,2,243.0,243.0,243.0,10
3,7,7,3,81.0,81.0,81.0,10
3,7,7,4,27.0,27.0,27.0,10
3,7,7,5,9.0,9.0,9.0,10
3,7,7,6,3.0,3.0,3.0,10
3,7,7,7,1.0,1.0,1.0,10
3,8,0,0,256.0,256.0,256.0,10
3,8,0,1,85.33333333333333,85.33333333333333,85.33333333333333,10
3,8,0,2,28.444444444444443,28.444444444444443,28.444444444444443,10
3,8,0,3,9.481481481481481,9.481481481481481,9.481481481481481,10
3,8,0,4,3.4224598930481283,3.303225806451614,3.1604938271604937,10
3,8,0,5,1.6644993498049416,1.5851393188854488,1.0534979423868314,10
3,8,0,6,1.1604714415231188,0.9449981543004798,0.3511659807956104,10
3,8,0,7,1.0398050365556457,0.5816859804589866,0.11705532693187014,10
3,8,0,8,1.0,0.2887760857304005,0.03901844231062338,10
3,8,1,0,1280.0,1280.0,1280.0,10
3,8,1,1,426.6666666666667,426.6666666666667,426.6666666666667,10
3,8,1,2,142.22222222222223,142.22222222222223,142.22222222222223,10
3,8,1,3,47.4074074074074,47.4074074074074,47.407407407407405,10
3,8,1,4,15.80246913580247,15.80246913580247,15.802469135802468,10
3,8,1,5,5.373635600335852,5.373635600335852,5.267489711934156,10
3,8,1,6,2.1216641803414555,2.0765736534717716,1.755829903978052,10
3,8,1,7,1.1854047045749212,1.0773503913811968,0.5852766346593508,10
3,8,1,8,1.0,0.7079254466014048,0.1950922115531169,10
3,8,2,0,3072.0,3072.0,3072.0,10
3,8,2,1,1024.0,1024.0,1024.0,10
3,8,2,2,341.3333333333333,341.3333333333333,341.3333333333333,10
3,8,2,3,113.77777777777777,113.77777777777777,113.77777777777777,10
